w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
4.0,694.0,564.0,74.0,0,0,0,0,0,0,0,1,1
4.0,494.0,564.0,274.0,0,0,0,0,0,0,0,1,1
4.0,474.0,564.0,294.0,0,0,0,0,0,0,0,1,1
4.0,394.0,564.0,374.0,0,0,0,0,0,0,0,1,1
4.0,334.0,564.0,434.0,0,0,0,0,0,0,0,1,1
4.0,224.0,564.0,544.0,0,0,0,0,0,0,0,1,1
4.0,184.0,564.0,584.0,0,0,0,0,0,0,0,1,1
14.0,144.0,554.0,624.0,0,0,1,0,1,0,0,0,2
374.0,144.0,194.0,624.0,0,0,1,0,1,0,0,0,2
564.0,154.0,4.0,614.0,0,0,0,0,0,1,0,0,3
564.0,264.0,4.0,504.0,0,0,0,0,0,1,0,0,3
564.0,294.0,4.0,474.0,0,0,0,0,0,1,0,0,3
564.0,464.0,4.0,304.0,0,0,0,0,0,1,0,0,3
564.0,594.0,4.0,174.0,0,0,0,0,0,1,0,0,3
564.0,694.0,4.0,74.0,0,0,0,0,0,1,0,0,3
564.0,704.0,4.0,64.0,0,0,0,0,0,1,0,0,3
564.0,734.0,4.0,34.0,0,0,0,0,0,1,0,0,3
554.0,764.0,14.0,4.0,0,0,0,0,0,0,1,0,0
534.0,764.0,34.0,4.0,0,0,0,0,0,0,1,0,0
404.0,764.0,164.0,4.0,0,0,0,0,0,0,1,0,0
134.0,764.0,434.0,4.0,0,0,0,0,0,0,1,0,0
114.0,754.0,454.0,14.0,0,1,0,0,0,0,0,1,1
114.0,454.0,454.0,314.0,0,1,0,0,0,0,0,1,1
114.0,374.0,454.0,394.0,0,1,0,0,0,0,0,1,1
114.0,234.0,454.0,534.0,0,1,0,0,0,0,0,1,1
124.0,4.0,444.0,764.0,0,0,0,0,1,0,0,0,2
244.0,4.0,324.0,764.0,0,0,0,0,1,0,0,0,2
564.0,14.0,4.0,754.0,0,0,0,0,0,1,0,0,3
564.0,34.0,4.0,734.0,0,0,0,0,0,1,0,0,3
564.0,334.0,4.0,434.0,0,0,0,0,0,1,0,0,3
554.0,484.0,14.0,284.0,1,0,0,0,0,0,1,0,0
254.0,484.0,314.0,284.0,1,0,0,0,0,0,1,0,0
244.0,484.0,324.0,284.0,1,0,0,0,0,0,1,0,0
154.0,484.0,414.0,284.0,1,0,0,0,0,0,1,0,0
134.0,484.0,434.0,284.0,1,0,0,0,0,0,1,0,0
54.0,484.0,514.0,284.0,1,0,0,0,0,0,1,0,0
4.0,474.0,564.0,294.0,0,0,0,0,0,0,0,1,1
4.0,264.0,564.0,504.0,0,0,0,0,0,0,0,1,1
4.0,254.0,564.0,514.0,0,0,0,0,0,0,0,1,1
4.0,94.0,564.0,674.0,0,0,0,0,0,0,0,1,1
14.0,4.0,554.0,764.0,0,0,0,0,1,0,0,0,2
244.0,4.0,324.0,764.0,0,0,0,0,1,0,0,0,2
304.0,14.0,264.0,754.0,0,0,0,1,1,1,0,0,3
304.0,374.0,264.0,394.0,0,0,0,1,0,1,0,0,3
304.0,384.0,264.0,384.0,0,0,0,1,0,1,0,0,3
304.0,544.0,264.0,224.0,0,0,0,0,0,1,0,0,3
304.0,754.0,264.0,14.0,0,0,0,0,0,1,0,0,3
294.0,764.0,274.0,4.0,0,0,0,0,0,0,1,0,0
174.0,764.0,394.0,4.0,0,0,0,0,0,0,1,0,0
4.0,754.0,564.0,14.0,0,0,0,0,0,0,1,1,1
4.0,674.0,564.0,94.0,0,0,0,0,0,0,0,1,1
4.0,664.0,564.0,104.0,0,0,0,0,0,0,0,1,1
4.0,474.0,564.0,294.0,0,0,0,0,0,0,0,1,1
14.0,324.0,554.0,444.0,0,0,1,0,1,0,0,0,2
504.0,324.0,64.0,444.0,0,0,0,0,1,0,0,0,2
564.0,324.0,4.0,444.0,0,0,0,0,1,0,0,0,2
564.0,334.0,4.0,434.0,0,0,0,0,0,1,0,0,3
564.0,434.0,4.0,334.0,0,0,0,0,0,1,0,0,3
554.0,764.0,14.0,4.0,0,0,0,0,0,0,1,0,0
394.0,764.0,174.0,4.0,0,0,0,0,0,0,1,0,0
264.0,764.0,304.0,4.0,0,0,0,0,0,0,1,0,0
114.0,754.0,454.0,14.0,0,1,0,0,0,0,0,1,1
114.0,554.0,454.0,214.0,0,1,0,0,0,0,0,1,1
114.0,424.0,454.0,344.0,0,1,0,0,0,0,0,1,1
114.0,264.0,454.0,504.0,0,1,0,0,0,0,0,1,1
114.0,144.0,454.0,624.0,0,1,0,0,0,0,0,1,1
114.0,14.0,454.0,754.0,0,0,0,0,0,0,0,1,1
124.0,4.0,444.0,764.0,0,0,0,0,1,0,0,0,2
454.0,14.0,114.0,754.0,0,0,0,1,1,1,0,0,3
454.0,94.0,114.0,674.0,0,0,0,1,0,1,0,0,3
454.0,204.0,114.0,564.0,0,0,0,1,0,1,0,0,3
454.0,274.0,114.0,494.0,0,0,0,1,0,1,0,0,3
454.0,564.0,114.0,204.0,0,0,0,1,0,1,0,0,3
444.0,764.0,124.0,4.0,0,0,0,0,0,0,1,0,0
134.0,754.0,434.0,14.0,0,1,0,0,0,0,1,1,1
134.0,174.0,434.0,594.0,0,0,0,0,0,0,0,1,1
